asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,140930,3,5,13,61,0.0,0.0,0.0,0,3
ATM,10,21,17,random,1,3,6,3,15,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,107175,1,1,0,0,0.8,0.14285715,0.0,0,0
CashPoint,5,7,7,random,1,1,2,0,4,1.0,0.5,0.2857143,0,0
CashRegister,8,12,22,evoavalla,76916,5,8,11,40,0.875,0.875,0.72727275,0,0
CashRegister,8,12,22,random,3,5,11,11,16,0.75,0.75,0.4090909,0,0
CoffeeVendingMachine,2,6,2,evoavalla,74481,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,1,4,8,6,15,1.0,0.6666667,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,465,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,73457,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,0,2,4,2,2,0.4,0.375,0.25,0,0
Counter,5,4,4,atgt,397,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,74194,2,2,4,16,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,1,2,4,4,12,1.0,0.375,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,74340,2,2,1,1,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,random,7,2,4,2,6,1.0,0.5,0.4,0,0
GuessBigNumber,1,3,5,atgt,543,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,619,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,81769,5,13,14,126,1.0,0.3888889,0.34210527,0,0
LandingGearSystem,4,9,38,random,1,5,14,12,38,1.0,0.3888889,0.13157895,0,0
LandingGearSystem,4,9,38,atgt,1806,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,73299,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,0,2,6,4,12,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,218,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,80976,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,6,24,58,34,81,0.75,0.8333333,0.30769232,0,0
PhdMaster,4,3,52,atgt,2560,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72148,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,116,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,77301,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,2,4,8,8,18,1.0,0.6,1.0,0,0
Stove,10,11,18,evoavalla,76011,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,76547,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random,26,5,25,280,19,1.0,0.875,0.75,0,0
Tcas,1,20,20,atgt,424,10,10,140,10,1.0,1.0,1.0,0,0
ATM,10,21,17,random100,177,5,500,495,1510,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,random100,999,5,500,494,25,1.0,0.5,0.2857143,1,0
CashRegister,8,12,22,random100,65,5,500,77,1475,1.0,0.9583333,0.90909094,0,0
CoffeeVendingMachine,2,6,2,random100,91,5,500,316,640,1.0,0.9166667,1.0,0,0
Counter,5,4,4,random100,53,5,500,495,905,0.6,0.625,0.5,0,0
DiceGame,1,4,9,random100,196,5,500,800,1775,1.0,1.0,1.0,0,0
GuessBigNumber,1,3,5,random100,175,5,500,50,995,1.0,0.8333333,0.6,0,0
IntegerTrain,7,9,17,random100,34,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,random100,2045,5,500,705,2652,1.0,0.9444444,0.8684211,0,0
Lift,1,6,7,random100,31,5,500,495,999,1.0,0.8333333,1.0,0,0
PhdMaster,4,3,52,random100,50,5,500,495,990,1.0,1.0,0.7692308,0,0
SafeCombination,1,3,3,random100,57,5,500,495,500,1.0,0.8333333,0.6666667,0,0
SiGistica,7,5,6,random100,128,5,500,545,1146,1.0,0.7,1.0,0,0
Stove,10,11,18,random100,4,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random100,969,5,500,6930,495,1.0,1.0,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt_sefm,1302,7,10,19,26,1.0,0.8333333,1.0,0,0
Counter,5,4,4,atgt_sefm,947,6,3,3,5,0.4,0.375,0.25,0,0
GuessBigNumber,1,3,5,atgt_sefm,575,3,8,7,17,1.0,0.5,0.4,3,0
LandingGearSystem,4,9,38,atgt_sefm,3041,15,113,231,684,1.0,0.5,0.34210527,15,0
Lift,1,6,7,atgt_sefm,865,7,11,11,15,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,atgt_sefm,2948,33,69,69,128,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,atgt_sefm,274,2,8,8,10,1.0,1.0,1.0,0,0
Tcas,1,20,20,atgt_sefm,1223,10,20,280,20,1.0,1.0,1.0,0,0
