asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios
Ascensore,1,6,7,evoavalla,80446,3,6,4,18,1.0,0.8333333,1.0,0
Ascensore,1,6,7,random,46,3,6,3,10,1.0,0.75,0.71428573,0
Ascensore,1,6,7,atgt,773,7,11,11,17,1.0,0.8333333,1.0,0
ATM3v2,10,21,17,evoavalla,91307,1,1,1,10,0.6,0.21428572,0.11764706,0
ATM3v2,10,21,17,random,10,1,2,1,5,0.6,0.2857143,0.1764706,0
CashPoint,5,7,7,evoavalla,110293,1,1,0,0,1.0,0.2857143,0.2857143,2
CashPoint,5,7,7,random,12,1,2,0,4,1.0,0.5,0.2857143,2
CoffeeVendingMachineNC,2,6,2,evoavalla,75042,4,4,3,32,1.0,0.75,1.0,0
CoffeeVendingMachineNC,2,6,2,random,9,4,8,6,17,1.0,0.5833333,1.0,0
CoffeeVendingMachineNC,2,6,2,atgt,947,7,47,71,108,1.0,1.0,1.0,0
Contatore_U_DA_H,5,4,4,evoavalla,74415,2,11,1,0,0.6,0.625,0.5,0
Contatore_U_DA_H,5,4,4,random,2,2,12,10,10,0.4,0.375,0.25,0
Contatore_U_DA_H,5,4,4,atgt,610,1,1001,1001,1111,1.0,1.0,1.0,0
Dado,1,4,9,evoavalla,74564,2,2,4,16,1.0,0.5,0.6666667,0
Dado,1,4,9,random,3,2,4,4,10,1.0,0.5,0.44444445,0
Ferryman,3,4,5,evoavalla,75047,2,4,1,30,1.0,0.75,0.8,2
Ferryman,3,4,5,random,3,2,0,0,0,0.0,0.0,0.0,1
GuessBigNumber,1,2,3,random,391,5,25,20,45,1.0,0.5,0.33333334,0
Integer_train,7,9,17,random,471,0,0,0,0,0.0,0.0,0.0,0
LGS_3L,4,9,38,evoavalla,80067,3,7,8,70,1.0,0.2777778,0.21052632,0
LGS_3L,4,9,38,random,7,3,8,11,24,1.0,0.2777778,0.13157895,0
LGS_3L,4,9,38,atgt,2672,22,118,268,644,0.0,0.0,0.0,0
Phd_master_flat2_v1,4,3,52,evoavalla,82324,24,52,51,128,1.0,1.0,1.0,0
Phd_master_flat2_v1,4,3,52,random,17,24,58,34,79,0.75,0.8333333,0.26923078,0
Phd_master_flat2_v1,4,3,52,atgt,2272,34,75,75,126,1.0,1.0,1.0,0
QuickSort,1,0,1,random,97,5,25,0,20,0.0,NaN,0.0,0
RegistroDiCassav4,8,12,22,evoavalla,77649,4,6,9,30,0.75,0.8333333,0.59090906,0
RegistroDiCassav4,8,12,22,random,0,4,8,8,9,0.75,0.5416667,0.3181818,0
SafeCombination,1,3,3,evoavalla,72314,2,2,2,2,1.0,0.8333333,0.6666667,0
SafeCombination,1,3,3,random,1,2,4,2,4,1.0,0.5,0.33333334,0
SafeCombination,1,3,3,atgt,105,3,11,11,11,1.0,1.0,1.0,0
SiGistica,7,5,6,evoavalla,76651,4,5,6,54,1.0,0.6,1.0,0
SiGistica,7,5,6,random,1,4,8,8,14,1.0,0.6,1.0,0
SmartHome,24,34,25,random,19,5,25,32,390,0.29166666,0.1764706,0.28,5
Stufa,10,11,18,evoavalla,75972,1,1,0,10,0.5,0.27272728,0.11111111,0
Stufa,10,11,18,random,1,1,2,2,2,0.5,0.27272728,0.11111111,0
SwapSortOnSeq,1,0,1,random,22,5,25,0,25,0.0,NaN,0.0,0
Tcas,1,20,20,evoavalla,77657,0,0,0,0,0.0,0.0,0.0,0
Tcas,1,20,20,random,38,5,25,280,20,1.0,0.825,0.65,0
Tcas,1,20,20,atgt,421,10,10,140,10,1.0,1.0,1.0,10
TrafficLightv2,5,5,14,evoavalla,73688,2,31,2,66,1.0,1.0,1.0,0
TrafficLightv2,5,5,14,random,2,2,31,2,62,0.8,0.5,0.5714286,0
TrafficLightv2,5,5,14,atgt,255,7,77,19,152,1.0,0.9,0.85714287,1
