AsmSpec,EvoAvalla,Random,Atgt
Ascensore,83428,54,2855
ATM3v2,151805,193,0
CashPoint,143722,43,0
Cassaforte,80447,174,0
Certifier_nochoose_noundef,83213,101,4283
CoffeeVendingMachineNC,78825,28,0
Contatore_U_DA_H,75027,0,0
Dado,87021,58,0
Ferryman,80197,46,0
Forno,80636,64,594
LIFT,0,613,0
Phd_master_flat2_v1,81655,31,2445
Pillbox_1,76803,31,3327
RailroadGate,81202,48,0
RegistroDiCassav4,87340,0,0
SIS,0,310,1443
SiGistica,78811,11,0
SmartHome,0,238,0
SluiceGateGround,0,0,0
Stufa,83900,0,0
TrafficLightv2,76846,15,0
